Received: Normal=0.42886707057946927, Power-Law=0.4904040282957097
Received: Normal=0.10872599473999987, Power-Law=0.48128476979133883
Received: Normal=2.0215061195769892, Power-Law=0.46152319362166117
Received: Normal=-0.06387543089251312, Power-Law=0.1446106769084059
Received: Normal=0.07510305492728445, Power-Law=-0.11201507129886168
Received: Normal=1.7952495792661083, Power-Law=0.42389874100689895
Received: Normal=-0.7018333701541474, Power-Law=0.19582117219679374
Received: Normal=-0.6448451416701431, Power-Law=0.43483222977708325
Received: Normal=-0.5170125542695364, Power-Law=0.23378221682345224
Received: Normal=0.8336248462086071, Power-Law=0.2490289885206204
Received: Normal=0.838410893945425, Power-Law=0.28116397309561425
Received: Normal=-2.1609098107227815, Power-Law=0.49599788047617244
Received: Normal=0.259564133710541, Power-Law=0.36823398382925165
Received: Normal=0.8503132310646601, Power-Law=0.4647533514825476
Received: Normal=0.2489300074670397, Power-Law=0.3906341627312302
Received: Normal=-0.4762146344159627, Power-Law=0.35439737444036
Received: Normal=0.4952039128845824, Power-Law=0.4405854871190301
Received: Normal=-0.3916691113990515, Power-Law=0.37795529680797146
Received: Normal=0.3494307537417294, Power-Law=0.4314240209838076
Received: Normal=-0.19854121185404483, Power-Law=0.312955967350964
Received: Normal=-1.5507168031460932, Power-Law=0.45747113195045286
